Time,GCD,DOT,Longyin,Longya,Pofeng,Chuanyun,Zhanbafang,Mie,Liuxue,Poxue,Fenghu,Xunhuan
2880,19,25,21.661,21.828,1,12.746,5.781,9.375,124.078,295.441,FALSE,A
2880,19,25,6.592,41.141,0,16.906,14.97,0,0,0,TRUE,A
2880,19,25,21.119,22.723,1,7.019,10.762,0,127.662,293.788,FALSE,B
2880,19,25,5.416,36.371,0,19.399,14.53,0,0,0,TRUE,B
3360,24,32,23.892,12.706,1,3.877,3.273,6.554,94.63,255.086,FALSE,A
3360,24,32,7.75,49.083,0,13.659,18.206,0,0,0,TRUE,A
3360,24,32,24.052,11.559,1,0,2.659,0,101.795,258.705,FALSE,B
3360,24,32,7.173,47.477,0,13.166,20.255,0,0,0,TRUE,B
3360,23,31,25.086,13.384,1,4.063,3.37,6.91,116.253,267.215,FALSE,A
3360,23,31,8.146,51.558,0,14.309,19.174,0,0,0,TRUE,A
3360,23,31,24.424,11.597,1,0,2.632,0,117.427,268.99,FALSE,B
3360,23,31,7.331,48.358,0,13.265,20.637,0,0,0,TRUE,B
3360,23,30,25.086,13.384,1,4.063,3.37,6.91,118.472,273.274,FALSE,A
3360,23,30,8.146,51.558,0,14.309,19.174,0,0,0,TRUE,A
3360,23,30,23.803,13.273,1,0,4.981,0,123.852,284.972,FALSE,B
3360,23,30,6.854,45.561,0,14.994,19.201,0,0,0,TRUE,B
3360,22,30,21.801,21.978,1,12.832,5.807,9.443,122.245,289.813,FALSE,A
3360,22,30,6.633,41.409,0,17.008,15.089,0,0,0,TRUE,A
3360,22,30,23.66,24.92,1,11.108,5.433,0,119.723,296.634,FALSE,B
3360,22,30,6.465,41.799,0,19.121,18.111,0,0,0,TRUE,B
3360,22,29,21.801,21.978,1,12.832,5.807,9.443,125.134,298.174,FALSE,A
3360,22,29,6.633,41.409,0,17.008,15.089,0,0,0,TRUE,A
3360,22,29,23.66,24.92,1,11.108,5.433,0,127.29,296.892,FALSE,B
3360,22,29,6.465,41.799,0,19.121,18.111,0,0,0,TRUE,B
3360,21,29,22.784,23.033,1,13.483,6.01,9.912,128.077,304.528,FALSE,A
3360,21,29,6.94,43.295,0,17.73,15.813,0,0,0,TRUE,A
3360,21,29,24.044,25.317,1,11.355,5.419,0,129.651,302.713,FALSE,B
3360,21,29,6.603,42.657,0,19.35,18.551,0,0,0,TRUE,B
3360,21,28,22.784,23.033,1,13.483,6.01,9.912,111.449,304.528,FALSE,A
3360,21,28,6.94,43.295,0,17.73,15.813,0,0,0,TRUE,A
3360,21,28,24.022,25.306,1,11.278,5.597,0,116.756,302.513,FALSE,B
3360,21,28,6.623,42.668,0,19.398,18.413,0,0,0,TRUE,B
3360,20,27,23.905,24.176,1,14.215,6.235,10.453,134.495,320.617,FALSE,A
3360,20,27,7.317,45.506,0,18.55,16.643,0,0,0,TRUE,A
3360,20,27,24.111,26.219,1,9.433,9.651,0,133.988,310.912,FALSE,B
3360,20,27,6.576,42.898,0,21.487,16.404,0,0,0,TRUE,B
3360,20,26,23.905,24.176,1,14.215,6.235,10.453,137.683,329.875,FALSE,A
3360,20,26,7.317,45.506,0,18.55,16.643,0,0,0,TRUE,A
3360,20,26,24.28,26.273,1,9.249,9.622,0,144.152,347.295,FALSE,B
3360,20,26,6.326,42.542,0,20.856,17.484,0,0,0,TRUE,B
3360,19,26,25.182,25.457,1,15.047,6.513,11.026,141.659,338.479,FALSE,A
3360,19,26,7.701,47.939,0,19.56,17.575,0,0,0,TRUE,A
3360,19,26,24.589,26.71,1,9.729,9.625,0,150.359,356.8,FALSE,B
3360,19,26,6.75,43.828,0,21.783,16.985,0,0,0,TRUE,B
3360,19,25,25.182,25.457,1,15.047,6.513,11.026,144.874,347.818,FALSE,A
3360,19,25,7.701,47.939,0,19.56,17.575,0,0,0,TRUE,A
3360,19,25,24.58,26.34,1,8.381,12.38,0,149.026,345.204,FALSE,B
3360,19,25,6.317,42.628,0,22.283,17.125,0,0,0,TRUE,B
3840,24,32,27.284,14.511,1,4.449,3.588,7.549,108.193,293.867,FALSE,A
3840,24,32,8.89,56.258,0,15.502,20.969,0,0,0,TRUE,A
3840,24,32,27.459,13.254,1,0,2.949,0,116.292,298.085,FALSE,B
3840,24,32,8.2,54.471,0,14.925,23.199,0,0,0,TRUE,B
3840,23,31,28.505,15.178,1,4.654,3.692,7.875,132.741,307.526,FALSE,A
3840,23,31,9.269,58.742,0,16.182,21.903,0,0,0,TRUE,A
3840,23,31,27.867,13.353,1,0,2.912,0,134.263,309.764,FALSE,B
3840,23,31,8.429,55.453,0,15.035,23.657,0,0,0,TRUE,B
3840,23,30,28.505,15.178,1,4.654,3.692,7.875,135.398,314.899,FALSE,A
3840,23,30,9.269,58.742,0,16.182,21.903,0,0,0,TRUE,A
3840,23,30,27.28,15.129,1,0,5.405,0,141.608,327.957,FALSE,B
3840,23,30,7.803,52.386,0,16.89,22.197,0,0,0,TRUE,B
3840,22,30,24.88,25.135,1,14.872,6.454,10.908,139.924,334.063,FALSE,A
3840,22,30,7.613,47.429,0,19.338,17.371,0,0,0,TRUE,A
3840,22,30,26.973,28.606,1,12.787,6.036,0,136.792,341.655,FALSE,B
3840,22,30,7.381,47.789,0,21.685,20.787,0,0,0,TRUE,B
3840,22,29,24.88,25.135,1,14.872,6.454,10.908,143.002,342.991,FALSE,A
3840,22,29,7.613,47.429,0,19.338,17.371,0,0,0,TRUE,A
3840,22,29,26.973,28.606,1,12.787,6.036,0,145.575,341.97,FALSE,B
3840,22,29,7.381,47.789,0,21.685,20.787,0,0,0,TRUE,B
3840,21,29,26.018,26.387,1,15.61,6.687,11.422,146.479,350.521,FALSE,A
3840,21,29,7.956,49.524,0,20.189,18.207,0,0,0,TRUE,A
3840,21,29,27.533,29.106,1,13.002,6.12,0,148.317,348.536,FALSE,B
3840,21,29,7.49,48.775,0,22.139,21.241,0,0,0,TRUE,B
3840,21,28,26.018,26.387,1,15.61,6.687,11.422,127.437,350.794,FALSE,A
3840,21,28,7.956,49.524,0,20.189,18.207,0,0,0,TRUE,A
3840,21,28,27.505,29.104,1,12.915,6.34,0,133.53,348.499,FALSE,B
3840,21,28,7.511,48.768,0,22.203,21.069,0,0,0,TRUE,B
3840,20,27,27.293,27.688,1,16.42,6.97,11.984,153.806,368.878,FALSE,A
3840,20,27,8.338,51.99,0,21.185,19.132,0,0,0,TRUE,A
3840,20,27,27.546,30.039,1,11.048,10.548,0,153.257,357.549,FALSE,B
3840,20,27,7.501,49.064,0,24.205,19.226,0,0,0,TRUE,B
3840,20,26,27.293,27.688,1,16.42,6.97,11.984,157.391,379.327,FALSE,A
3840,20,26,8.338,51.99,0,21.185,19.132,0,0,0,TRUE,A
3840,20,26,27.714,29.887,1,10.747,10.672,0,165.032,399.517,FALSE,B
3840,20,26,7.236,48.894,0,23.544,20.322,0,0,0,TRUE,B
3840,19,26,28.836,29.309,1,17.432,7.302,12.725,161.974,388.981,FALSE,A
3840,19,26,8.775,54.934,0,22.42,20.267,0,0,0,TRUE,A
3840,19,26,28.143,30.65,1,11.281,10.656,0,172.027,410.529,FALSE,B
3840,19,26,7.723,50.254,0,24.648,19.737,0,0,0,TRUE,B
3840,19,25,28.836,29.309,1,17.432,7.302,12.725,165.737,399.964,FALSE,A
3840,19,25,8.775,54.934,0,22.42,20.267,0,0,0,TRUE,A
3840,19,25,28.126,30.165,1,9.554,13.915,0,170.375,396.771,FALSE,B
3840,19,25,7.256,49.047,0,25.307,19.772,0,0,0,TRUE,B
4320,24,32,30.714,16.363,1,5.038,3.921,8.544,121.715,332.657,FALSE,A
4320,24,32,9.975,63.364,0,17.406,23.675,0,0,0,TRUE,A
4320,24,32,30.952,14.687,1,0,3.127,0,130.898,337.461,FALSE,B
4320,24,32,9.259,61.633,0,16.663,26.267,0,0,0,TRUE,B
4320,23,31,32.098,17.071,1,5.263,4.047,8.954,149.528,348.26,FALSE,A
4320,23,31,10.389,66.24,0,18.181,24.757,0,0,0,TRUE,A
4320,23,31,31.435,14.889,1,0,3.101,0,151.107,350.474,FALSE,B
4320,23,31,9.472,62.732,0,16.779,26.774,0,0,0,TRUE,B
4320,23,30,32.098,17.071,1,5.263,4.047,8.954,152.297,355.969,FALSE,A
4320,23,30,10.389,66.24,0,18.181,24.757,0,0,0,TRUE,A
4320,23,30,30.701,16.883,1,0,5.898,0,159.347,370.785,FALSE,B
4320,23,30,8.889,59.277,0,18.766,25.176,0,0,0,TRUE,B
4320,22,30,27.99,28.469,1,16.894,7.128,12.333,157.336,377.5,FALSE,A
4320,22,30,8.533,53.296,0,21.727,19.63,0,0,0,TRUE,A
4320,22,30,30.36,32.293,1,14.449,6.653,0,153.975,386.232,FALSE,B
4320,22,30,8.286,53.851,0,24.382,23.564,0,0,0,TRUE,B
4320,22,29,27.99,28.469,1,16.894,7.128,12.333,161.083,388.435,FALSE,A
4320,22,29,8.533,53.296,0,21.727,19.63,0,0,0,TRUE,A
4320,22,29,30.36,32.293,1,14.449,6.653,0,163.809,386.481,FALSE,B
4320,22,29,8.286,53.851,0,24.382,23.564,0,0,0,TRUE,B
4320,21,29,29.267,29.815,1,17.706,7.396,12.926,164.84,396.418,FALSE,A
4320,21,29,8.903,55.683,0,22.744,20.56,0,0,0,TRUE,A
4320,21,29,30.957,32.814,1,14.777,6.727,0,166.822,393.869,FALSE,B
4320,21,29,8.426,54.996,0,24.723,24.058,0,0,0,TRUE,B
4320,21,28,29.267,29.815,1,17.706,7.396,12.926,143.478,397.159,FALSE,A
4320,21,28,8.903,55.683,0,22.744,20.56,0,0,0,TRUE,A
4320,21,28,30.922,32.833,1,14.653,7.006,0,150.193,394.245,FALSE,B
4320,21,28,8.433,54.967,0,24.86,23.825,0,0,0,TRUE,B
4320,20,27,30.668,31.251,1,18.62,7.701,13.579,173.117,417.202,FALSE,A
4320,20,27,9.341,58.428,0,23.808,21.604,0,0,0,TRUE,A
4320,20,27,31.013,33.806,1,12.405,11.649,0,172.451,404.147,FALSE,B
4320,20,27,8.466,55.394,0,27.102,21.795,0,0,0,TRUE,B
4320,20,26,30.668,31.251,1,18.62,7.701,13.579,177.143,428.974,FALSE,A
4320,20,26,9.341,58.428,0,23.808,21.604,0,0,0,TRUE,A
